"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára"
"117","II. kerület, Pusztaszeri út","88 millió Ft","83 m²","3","Eladásra kínálok a Pusztaszeri úton egy teljes köruen, igényesen felújított 83 m2-es ingatlant. Teljesen új gépészet, gépesített konyha, igényes modern fürdoszoba került kialakításra.A lakás bár földszinti bejáratú, de a telek adottságaiból adódóan elso emeleti, kertre ill. csendes mellékutcára nyíló ablakokkal. Az ingatlan per-, teher-, igénymentes, azonnal költözheto.","felújított","nincs megadva","összkomfortos","nincs megadva","földszint","5","nincs","3 m-nél alacsonyabb","házközponti","van","nincs megadva","igen","külön és egyben is","kelet","kertre néz","nincs megadva","nem","nem tetotéri","nincs megadva",NA
"118","XIII. kerület, Tátra utca","88 millió Ft","91 m²","3","1938-ban épült zárt lépcsoházas, 13 lakásos társasházban elso emeleti (2 lakás egy emeleten), felújított, 93 nm-es (3 szoba+hall+gardrób+2 erkély) polgári lakás a Szent István parktól egy sarokra 90 millióért eladó. A régi idok eleganciáját tükrözo polgári lakás kiválóan alkalmas ügyvédi irodának, orvosi rendelonek, kisebb átalakítás után a konyha félszobának is átalakítható. A belmagasság 3 méter. A nagyobb erkély az utcára, a kisebb az osfás belso kertre néz.A házban a villany- és a gáz fovezeték cseréje megtörtént, a lift új.A lakás 2016-ban általános felújításon esett át teljes vízvezeték- és szennyvízrendszer-cserével. A szomszéd lakás feloli falon 13 cm vastag hangszigetelo réteg, az ablakokon +hangszigetelo üvegréteg van.Nagy teljesítményu légkondicionáló biztosítja a huvösséget a forró nyári napokon az utcai szobákban és a hallban, az udvari szoba erkélyen át az udvarról szellozik. A konyha ablakos és szagelszívó is van. Az összes kültéri ajtó, ablak muanyag, mindenhol redonnyel.Egyedi cirkófutés- és melegvíz-szolgáltatás van, ezért a rezsiköltség igen kedvezo, átlagban közös költséggel együtt 40 ezer/hó. A közös költség 32 ezer forint, mely heti kétszeri a háztakarítást, közös villany-, víz-, csatornaszámlákat, 24 órás liftügyeletet, liftkarbantartási átalányt, valamint a közös képviselet havi díját foglalja magába. A lakás rövid idon belül költözheto! 1/1 tulajdonjogú.Ingatlanos közremuködését nem kérem!","felújított","nincs megadva","összkomfortos","nincs megadva","1","4","van","3 m-nél magasabb","gáz (cirko)","van","40 E Ft/hó","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","6 m²","nincs megadva","nem tetotéri","nincs megadva",NA
"119","XVII. kerület, Rákoskeresztúr","88 millió Ft","84 m²","4","****Rákoskeresztúr központjában 84 nm-es, szinte új PENTHOUSE, lakás eladó.**** Dupla komfortos, tágas, elegáns otthon, 3 hálóval, amerikai konyhás nappalival 51 nm-es panorámás terasszal áll rendelkezésére az új tulajdonosának. A lakóépület futési és használati melegvíz igény kielégítésére levego-víz hoszivattyút építettek be, a környezettudatosság jegyében megújuló energiaforrást felhasználva. A leendo lakástulajdonos élvezheti a mennyezt futés-futés által keletkezo kellemes klimát. Magasfényu, gépesített konyha segíti a hétköznapi konyhai tevékenységet. ***Tartozik a lakáshoz 4 kocsibeálló rész a teremgarázsban, és egy tároló helyiség /1,3nm/ ugyanitt.Ezek ÁRA összesen: 25M,-Ft KÖTELEZOEN MEGVÁSÁROLANDÓK a lakáshoz.Ezek akár befektetésnek is kiválóak hiszen könnyedén kiadhatóak.***A központi elhelyezkedésnek köszönhetoen az ingatlan infrastruktúrája kiemelkedo bevásárlás és közlekedés szempontjából egyaránt. Nézze meg, szerezzen saját tapasztalatot az ingatlanról. Bovebb tájékoztatásért forduljon hozzám bizalommal  a megtekintés elott.  Az OTP Bankcsoport teljes köru ügyintézéssel áll az eladók és a vevok rendelkezésére! A kínálatunkból választott ingatlan finanszirozásához kedvezményes hitel- és lízingkonstrukciókat, lakástakarék-pénztári megoldásokat kínálunk. Az adásvételi szerzodés megkötéséhez igény szerint megbízható ügyvédi közremuködést biztosítunk, és segítséget nyújtunk az adásvételhez kapcsolódó ügyek intézésében. #penthouse #17.kerület #lakás #eladó #XVII.kerület","újszeru","2019","duplakomfortos","nincs megadva","4","4","van","3 m-nél alacsonyabb","házközponti, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","északkelet","panorámás","51 m²","nincs megadva","nem tetotéri","teremgarázs hely - kötelezo megvenni",NA
"120","XI. kerület, Fonyód utca","88 millió Ft","60 m²","3","PR041017/F/1A LAKÁS JELLEMZOI:Az épület kertszintjén található lakás, déli fo tájolásának köszönhetoen napfényes.A biztonsági ajtós bejáraton keresztül az eloszobába érkezünk. Innen nyílik a kertkapcsolatos amerikai konyhás nappali, továbbá két keleti tájolású hálószobával, gardróbbal, WC-s fürdovel és még egy plusz WC-vel rendelkezik. A kizárólagos használatú kert 126 nm.A szobákban és a közlekedoben parketta, a vizes helyiségekben koburkolatok lesznek, melyek egyedileg kiválaszthatók.A lakás ára tartalmaz 1 -1 db udvari beállót, teremgarázs helyet, továbbá 1 db tárolót.AZ INGATLAN HELYSZÍNE:Az ingatlan Buda XI. kerületében, a dinamikusan fejlodo Madárhegyen kerül felépítésre, exkluzív társasházas környezetben. A belvárosból, valamint a dél-budai régióból egyaránt jól megközelítheto akár tömegközlekedéssel, akár személygépjármuvel. Több busz megállója is sétatávolságra található, amelyekkel a Széll Kálmán tér irányában elletve a belvárosba is könnyedén eljuthatunk. Gépkocsival megközelítheto a Budaörsi út felol, illetve percek alatt elérheto az M1 és /M7 autópálya.A közelben több bolt közül is válogathatunk, mint például ALDI, SPAR és PENNY MARKET, de egyszeruen elérheto az ELEVEN CENTER, melyben bankfiókok, posta, gyógyszertár, okmányiroda, bevásárlási- és sportolási lehetoségek tárházát találjuk.AZ ÉPÜLET JELLEMZOI:Az épület a mai kor igényeinek megfeleloen, korszeru technológiákkal, magas színvonalú igényes kivitelezésben kerül megépítésre. Az 1050 nm-es telken, a terep lejtéséhez igazodóan egy földszint + 2 emeletes ház épül, melyben 4 lakás és ennek megfeleloen 4 állásos teremgarázs, valamint 4 tároló kerül kialakításra. A lakásokhoz a teremgarázsból egyedi másolásvédett proxys lifttel juthatunk, illetve kültéri lépcson keresztül is közlekedhetünkA lakások kertkapcsolatosak, vagy teraszosak, illetve mindkettovel rendelkeznek. A felso szinten nagyméretu duplex penthause kerül kialakításra. A házat körülölelo kertben a tereprendezés is megtörténik, öntözorendszert alakítanak ki, valamint még lakásonként 1-1 felszíni beálló is fokozza az exkluzivitást.MUSZAKI FELSZERELTSÉGE:A lakások futését hoszivattyús rendszer biztosítja, mellyel egyúttal a nyári hutés is megoldott. A nyílászárókon alumínium, fém lamellás redony kap helyet.A teton napkollektor kicsövezése kiépítésre kerül, a futoegység igény esetén felár ellenében egyedileg kérheto. 88000000 FtReferencia szám: PR041017/F/1","felújított","1950 elott","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","nincs megadva","egyéb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"121","XI. kerület, Madárhegy","88 millió Ft","60 m²","3","ENERGIATAKARÉKOS LUXUSINGATLANOK MADÁRHEGYEN1. LAKÁS Földszint, 60 nm, 2+1szoba, kertkapcsolat 88.000.000 Ft Az épület kertszintjén található lakás, déli fo tájolásának köszönhetoen napfényes.A biztonsági ajtós bejáraton keresztül az eloszobába érkezünk. Innen nyílik a kertkapcsolatos amerikai konyhás nappali, továbbá két keleti tájolású hálószobával, gardróbbal, WC-s fürdovel és még egy plusz WC-vel rendelkezik. A kizárólagos használatú kert 126 nm.A szobákban és a közlekedoben parketta, a vizes helyiségekben koburkolatok lesznek, melyek egyedileg kiválaszthatók.A lakás ára tartalmaz 1 -1 db udvari beállót, teremgarázs helyet, továbbá 1 db tárolót.Referenciaszám: PR041017/F/12. LAKÁS1. emelet, 73 nm, 2+1 szoba, erkély98.000.000 Ft Az épület utcaszintjén található, déli fo tájolásának köszönhetoen napfényes.A teremgarázsból lifttel, vagy a külso lépcsosoron keresztül a lakás elotti eloteréhez érkezünk. A biztonsági ajtós bejáraton keresztül az eloszobába érkezünk. Innen nyílik a teraszos amerikai konyhás nappali. Az ingatlan továbbá két hálószobával, két fürdoszobával rendelkezik.A szobákban és a közlekedoben parketta, a vizes helyiségekben koburkolatok lesznek, melyek egyedileg kiválaszthatók.A lakás ára tartalmaz 1 -1 db udvari beállót, teremgarázs helyet, továbbá 1 db tárolót.Referenciaszám: PR041017/F/23. LAKÁS1. emelet, 56 nm, 1+1 szoba, kertkapcsolat 72.000.000 Ft Az épület utcaszintjén található, déli fo tájolásának köszönhetoen napfényes.A teremgarázsból lifttel a lakás elott lévo elotérhez, vagy a külso lépcsosoron keresztül a saját teraszon keresztül közvetlenül a lakáshoz érkezünk.A biztonsági ajtós bejáraton keresztül az eloszobába érkezünk. Innen nyílik a teraszos amerikai konyhás nappali, amely a kerten keresztül közvetlenül is megközelítheto. Az ingatlan egy hálószobával, fürdoszobával, közvetlen kertkapcsolattal rendelkezik. A kizárólagos használatú kert 103 nm.A szobákban és a közlekedoben parketta, a vizes helyiségekben koburkolatok lesznek, melyek egyedileg kiválaszthatók.A lakás ára tartalmaz 1 -1 db udvari beállót, teremgarázs helyet, továbbá 1 db tárolót.Referenciaszám: PR041017/F/34. LAKÁS2. emelet, PENTHAUSE, 130 nm, 3+2 szoba, 28+79 nm terasz199.000.000 Ft Az épület elso emeletén található. Déli fo tájolásának, valamint a 3 oldalról érkezo napfénynek köszönhetoen rendkívül világos.A teremgarázsból lifttel közvetlenül a lakásba érkezünk, illetve megközelíthetjük külso lépcsosoron keresztül is ezt a fantasztikus PANORÁMÁS duplex PENTHAUSE-t.Az alsó szinten nappali, részben szeparált nagyméretu étkezos konyha, 2 gardrób, duplakomfort és egy 28,23 nm-es erkély, a felso szinten zuhanyzó, nyárikonyha, további nappali és a lakást körülölelo 79 nm-es tetoterasz található, amelyrol rendkívüli panoráma tárul elénk.A szobákban és a közlekedoben parketta, a vizes helyiségekben koburkolatok lesznek, melyek egyedileg kiválaszthatók.A lakás ára tartalmaz 2 db udvari beállót, 1 db teremgarázs helyet, továbbá 1 db tárolót.Referenciaszám: PR041017/F/4AZ INGATLAN HELYSZÍNE:Az ingatlan Buda XI. kerületében, a dinamikusan fejlodo Madárhegyen kerül felépítésre, exkluzív társasházas környezetben. A belvárosból, valamint a dél-budai régióból egyaránt jól megközelítheto akár tömegközlekedéssel, akár személygépjármuvel. Több busz megállója is sétatávolságra található, amelyekkel a Széll Kálmán tér irányában elletve a belvárosba is könnyedén eljuthatunk. Gépkocsival megközelítheto a Budaörsi út felol, illetve percek alatt elérheto az M1 és /M7 autópálya.A közelben több bolt közül is válogathatunk, mint például ALDI, SPAR és PENNY MARKET, de egyszeruen elérheto az ELEVEN CENTER, melyben bankfiókok, posta, gyógyszertár, okmányiroda, bevásárlási- és sportolási lehetoségek tárházát találjuk.AZ ÉPÜLET JELLEMZOI:Az épület a mai kor igényeinek megfeleloen, korszeru technológiákkal, magas színvonalú igényes kivitelezésben kerül megépítésre. Az 1050 nm-es telken, a terep lejtéséhez igazodóan egy földszint + 2 emeletes ház épül, melyben 4 lakás és ennek megfeleloen 4 állásos teremgarázs, valamint 4 tároló kerül kialakításra. A lakásokhoz a teremgarázsból egyedi másolásvédett proxys lifttel juthatunk, illetve kültéri lépcson keresztül is közlekedhetünkA lakások kertkapcsolatosak, vagy teraszosak, illetve mindkettovel rendelkeznek. A felso szinten nagyméretu duplex penthause kerül kialakításra. A házat körülölelo kertben a tereprendezés is megtörténik, öntözorendszert alakítanak ki, valamint még lakásonként 1-1 felszíni beálló is fokozza az exkluzivitást.MUSZAKI FELSZERELTSÉGE:A lakások futését hoszivattyús rendszer biztosítja, mellyel egyúttal a nyári hutés is megoldott. A nyílászárókon alumínium, fém lamellás redony kap helyet.A teton napkollektor kicsövezése kiépítésre kerül, a futoegység igény esetén felár ellenében egyedileg kérheto.Amennyiben felkeltette a hirdetés az érdeklodését, keressen bizalommal a hér bármely napján!","nincs megadva",NA,"nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","nincs megadva","egyéb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"122","XIII. kerület, Raoul Wallenberg utca","88 millió Ft","72 m²","1 + 2 fél","Újlipótváros szívében gyönyöru, világos otthonEgyedi megoldásokkal gyönyöruen FELÚJÍTOTT, VILÁGOS, 2. EMELETI, kiváló beosztású kincs Újlipótváros szívében, Budapest egyik legimpozánsabb környékén!Ebben a csodálatos lakásban az ötletes, egyedi megoldásoknak köszönhetoen nagyszeruen ötvözodik a praktikum a kényelemmel, a NAGYPOLGÁRI stílus az ELEGÁNS LUXUSSAL.Nézze meg és szeressen bele :)","felújított","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","van","nincs megadva","gázkazán","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"123","III. kerület, Csillaghegy - Rókahegy","88 millió Ft","113 m²","4","Körültekinto Ingatlan 03LC3325Csillaghegyen 4 szobás ikerház-lakás saját telekkel csendes mellékutcában eladó.Városrész:CsillaghegyIngatlan jellege:LakásNappalik száma:1Egyéb szobák száma:3Hasznos lakóterület:113 m2Telek területe:490 m2Közmu:Víz, Villany, Gáz, Csatorna, VízóraFutés:gázkazánCsillaghegy hegy feloli oldalán, forgalomtól mentes csendes mellékutcában 490 nm-es saját telekrésszel rendelkezo, 4 szobás, két szintes ikerház-lakás eladó.A földszinten nappali, étkezos konyha és egy fürdo, valamint szinteltolással lefelé egy háló és a kazánház kapott helyet. A nappali 30 nm-es fedett teraszon keresztül kapcsolódik a sík, füvesített kerthez.Az emeleten két háló, egy másik fürdo és egy kellemes erkély került kialakításra.Az ingatlan 1970-ben épült, 2010-ben felújították, kiváló muszaki állapotban van, szigetelt, nyílászárói újak. Tisztasági festés után költözheto.Tehermentes, így gyorsan birtokba veheto.","jó állapotú","nincs megadva","duplakomfortos","nincs megadva","földszint","2","nincs","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nem","nincs megadva","nincs megadva","kertre néz","490 m²","igen","nincs megadva","utca, közterület",NA
"124","XIII. kerület, Raoul Wallenberg utca","88 millió Ft","72 m²","1 + 2 fél","Újlipótváros szívében gyönyöru, világos otthonEgyedi megoldásokkal gyönyöruen FELÚJÍTOTT, VILÁGOS, 2. EMELETI, kiváló beosztású kincs Újlipótváros szívében, Budapest egyik legimpozánsabb környékén!Ebben a csodálatos lakásban az ötletes, egyedi megoldásoknak köszönhetoen nagyszeruen ötvözodik a praktikum a kényelemmel, a NAGYPOLGÁRI stílus az ELEGÁNS LUXUSSAL.Nézze meg és szeressen bele :)","felújított","1950 elott","összkomfortos","nincs megadva","2","nincs megadva","van","nincs megadva","gázkazán","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"125","XI. kerület, Nagyszeben út","88 millió Ft","85 m²","2 + 2 fél","Eladó a 11. kerületben a Nagyszeben utcában egy jó állapotú, teraszos, 85 négyzetméteres 1. emeleti tégla lakás.Gáz cirkó futéssel, beépített konyhával, gépekkel rendelkezik.Az ingatlan tehermentes, azonnal költözheto.","jó állapotú","2001 és 2010 között","összkomfortos","nincs megadva","1","4","van","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","20 E Ft/hó","nincs megadva","külön helyiségben","nincs megadva","utcai","9 m²","nincs megadva","nincs megadva","utca, közterület",NA
"126","VII. kerület, Dohány utca","88 millió Ft","98 m²","3","LeírásVII. kerület, Belso-Erzsébetváros részén, a Dohány utca elején, közel a Zsinagógához, rendezett, háromemeletes társasház III. emeletén (nincs lift), 98nm-es, három szobás, összkomfortos, felújításra szoruló, gáz-központi futésu lakás 88MFt-os irányáron eladó. A lakás körfolyosóról nyílik, két szoba utcára néz, napos világos. A lakás külön méroórákkal rendelkezik, a közös költség 28.000Ft/hó. A meleg víz, a fürdoszobában található gáz-kazánnal megoldott. A társasházban engedélyezett az airbnb, befektetok örömére. Felújítást követoen, a lakás akár két önálló részre osztható.Kituno elhelyezkedésnek köszönhetoen, könnyen kiadhatóvá/költözhetové válhat az ingatlan. A lakás bár utcai nézetu, mégis szerencsés olyan szempontból, hogy a forgalom csillapítás következtében rendkívül csendes!Ingatlan közvetítok ne hívjanak!!!","felújítandó","1950 elott","összkomfortos","nincs megadva","3","3","nincs","3 m-nél magasabb","gáz (cirko)","nincs","28 E Ft/hó","nem","külön és egyben is","északnyugat","utcai","2 m²","nem","nem tetotéri","utca, közterület - fizetos övezet",NA
"127","VII. kerület, Belso-Erzsébetváros","88 millió Ft","88 m²","3","Gozsdu Udvarban!Befektetoknek ideális választás, hosszú vagy rövidtávú kiadásra is ideális!Kituno állapotú, 88 m2-es, nappali + 2 hálószobás, jó elrendezésu, 3.emeleti, napfényes, világos lakás.Futését egyedi méros, házközponti futés látja el, a házat 24 órás biztonsági szolgálat orzi. A Deák tértol 2 perc sétára elhelyezkedo, éttermeirol, klubjairól híres, kiváló állapotú épületegyüttesben lévo ingatlan akár a megbízható bérlojével együtt (is) eladó.Bovebb információ vagy megtekintés miatt hívjon a hét bármely napján.","felújított","2001 és 2010 között","duplakomfortos","nincs megadva","3","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"128","VII. kerület, Károly körút","88 millió Ft","70 m²","3","VII. Központi helyen, a Madách térnél 70 nm-es, háromszobás, V. emeleti erkélyes, különleges hangulatú lakás eladó. 2020-ban a lakás mindenre kiterjedo, igényes felújítást kapott. Kiváló minoségu anyagok és gépek kerültek beépítésre.A nyílászárók is újak, ho- és hangszigeteltek. A lakás klimatizált, két hálószobás, dupla komfortos, amerikai konyhás. Az épület Bauhaus stílusú épületegyüttes része, 1930-as években épült. Homlokzat és a lépcsoház ápolt, karbantartott. Az Ablakok nem a körútra néznek, ezért csendesebb a lakás.","felújított","1950 elott","duplakomfortos","nincs megadva","5","6","van","nincs megadva","házközponti egyedi méréssel","van","35 E Ft/hó","igen","egy helyiségben","nyugat","utcai","3 m²","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA
"129","VII. kerület, Külso-Erzsébetváros","88 millió Ft","92 m²","4","Szeret összejöveteleket tartani?Itt remek lehetoség nyílik rá a 47nm-es terasz miatt!Az ingatlan a Városligettol 5 perc sétára található, csendes, hangulatos utcában.A lakás szíve a 47nm-es terasz, ahol szauna és kinti zuhanyzó is található.A házhoz tartozik egy belso közös kert, kis játszótérrel, így tökéletes lehet kisgyermekes családok részére is.A lakáshoz 1 teremgarázs hely, plusz egy garázs mögötti tároló tartozik, amiknek ára összesen 4M Ft. Extra parkolóhely bérlésére, a házban mindig van lehetoség.Szeretné megtekinteni a lakást? Hívjon bizalommal és nézzük meg!","nincs megadva",NA,"nincs megadva","nincs megadva","5","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északnyugat","udvari","47 m²","nincs megadva","nincs megadva","nincs megadva",NA
"130","XIII. kerület, Raoul Wallenberg utca","88 millió Ft","72 m²","3","Újlipótváros szívében gyönyöru, világos otthon.Egyedi megoldásokkal gyönyöruen FELÚJÍTOTT, VILÁGOS, 2. EMELETI, kiváló beosztású kincs Újlipótváros szívében, Budapest egyik legimpozánsabb környékén!Elosztása tökéletes: amerikai konyhás nappali + 2 külön nyíló szoba várja új lakóját.Ebben a csodálatos lakásban az ötletes, egyedi megoldásoknak köszönhetoen nagyszeruen ötvözodik a praktikum a kényelemmel, a NAGYPOLGÁRI stílus az ELEGÁNS LUXUSSAL.A felújítás természetesen teljes köru, minoségi anyagokkal készült, melynek során a lakás EGYEDI hangulatú, ízlésesen elegáns megjelenést kapott.Modern légcserélo rendszer, padlófutés, huto-futo légkondicionálók, új külso-belso nyílászárók, elektromos redonyök, energiatakarékos LED világító rendszer, modern konyhagépek gondoskodnak a lakók kényelmérol.A közelben a Szent István park, színházak, a Duna part, Margit-sziget és számos kisebb park nyújthat kellemes kikapcsolódást.Jöjjön, nézze meg és szeressen bele LK 527283","nincs megadva",NA,"nincs megadva","nincs megadva","2","nincs megadva","van","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"131","XV. kerület, Pestújhely","88 millió Ft","110 m²","5","Szeretne a 15. kerület legnépszerubb részén, Pestújhelyen, családi házas környezetben, egy 4 hálószobás+nappalis, 110 nm-es saját  kerttel rendelkezo, mégis társas-házi  lakásban élni a családjával? A kertváros nyugodt hangulatát keresi?   Akkor ezt a lehetoséget ne szalassza el, jöjjön nézze meg, tegyen ajánlatot!A környék jellemzoi:- csendes,- jó közlekedés,- jó ellátottságú,- családi házas övezet.Az ingatlan:-2007-ben épült  4 lakásos társasházban található,-110 nm-es lakás,-belso két szintes,-4 háló + nappali,-dupla-komfortos,-amerikai konyhás nappali,-emeleten erkély, földszinten terasz,-jó állapotú,-saját kijelölt parkoló az udvarban,-110 nm-es saját, szépen gondozott kert,-kerti tároló.Ideális otthona lehet  egy többgyermekes családnak, hiszen minden ami fontos egy kényelmes élethez, megtalálható a közelben: óvoda, iskola,  rendelok, posta, piac, boltok (Pólus Center, Ázsia Center 10 percen belül elérheto) stb.  A lakás csendes, mivel a társasház  belso részén található. Amennyiben kérdése van, illetve szeretné megtekinteni, várom megtisztelo hívását a hét minden napján.Referencia szám: H405953","jó állapotú","2001 és 2010 között","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északnyugat","kertre néz","8 m²","nincs megadva","nem tetotéri","nincs megadva",NA
"132","XV. kerület, Pestújhely","88 millió Ft","110 m²","5","XV. kerület legkedveltebb részén, Pestújhelyen, nappali + 4 szobás lakás családi házas övezetben, saját kerttel eladó!Környék: - csendes, zöldövezetben, családi házas környezetben- jó közlekedés- tömegközlekedés szempontjából kiváló helyen található, buszmegálló 1-2 perc, villamosmegálló 10 perc gyalogosan- kiváló infrastruktúra, minden megtalálható a könyéken, amire a hétköznapokban szükség van, üzletek (Pólus Center, Ázsia Center), szolgáltatások, gyógyszertár, bank maximum 10 perc séta- óvodák, oktatási intézmények, játszótér 5-10 perc alatt elérheto távolságon belülÉpület:- 2007-ben épült- téglaépület- 4 lakásos társasház- zárt lépcsoház- kiváló, gondozott állapotLakás:- 110 nm-es alapterület- 270 cm-es belmagasság- belso kétszintes- teraszos, erkélyes lakás- napfényes, világos terek- minoségi hideg-meleg burkolatok- tágas eloszoba- amerikai konyhás nappali- 4 hálószoba- 2 fürdoszoba és toalett- saját rendezett kertrész- saját parkoló a zárt udvarban- kerti tárolóOlyan többgyermekes családoknak ajánlom, akik számára fontos a jó közlekedés, mégis nyugodt, csendes zöldövezetben szeretnének élni társasházi lakásban a családi házak minden elonyével! Amennyiben a hirdetés felkeltette érdeklodését, további kérdése merült fel, keressen bizalommal, készséggel állok rendelkezésére akár hétvégén is!Hitelre van szüksége vásárláshoz, felújításhoz, de nem tud kiigazodni a bankok ajánlatai között? Amennyiben szakértore van szüksége, bank-semleges hitelszakértonk szívesen segít Önnek sokéves tapasztalatával, akkor is, ha nem nálunk vásárolja meg ingatlanát.Referencia szám: H405953","jó állapotú","2001 és 2010 között","duplakomfortos","nincs megadva","földszint","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","északnyugat","kertre néz","8 m²","nincs megadva","nem tetotéri","nincs megadva",NA
"133","VI. kerület, Jókai tér","88 millió Ft","65 m²","3","Budapest, VI. kerület, az Oktogon közelében,  belvárosi, minden igényt kielégíto tetotéri otthonra vágyik vagy egy jó befektetési lehetoséget keres?Akkor Önnek ajánljuk a most induló beruházás keretein belül épülo 15 db luxus apartman egyikét , 40 %-os lekötéssel, idei áron, jövo év III. negyedévi átadással. Méretek 65 nm - 154 nm, a szobák száma 2 - 5 , terasszal, vagy anélkül, melyek között biztosan talál Önnek megfelelot.Az ingatlan a jelenlegi gazdasági környezetben biztonságos és jövedelmezo befektetés. A kiváló lokáció, belvárosi környezet, a minoségi, modern lakások és a jó közlekedés egyszerre biztosítják az exkluzív tetotéri lakások bérbeadhatóságát, a vételár gyors megtérülését.További részleteket szívesen adunk, amennyiben írásban elküldi az érdeklodését.","újszeru","2022","luxus","nincs megadva","5","5","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","tetotéri","nincs megadva",NA
"134","VI. kerület, Jókai tér","245,81 ezer €","65 m²","3","Budapest, VI. kerület, az Oktogon közelében,  belvárosi, minden igényt kielégíto tetotéri otthonra vágyik vagy egy jó befektetési lehetoséget keres?Akkor Önnek ajánljuk a most induló beruházás keretein belül épülo 15 db luxus apartman egyikét , 40 %-os lekötéssel, idei áron, jövo év III. negyedévi átadással. Méretek 65 nm - 154 nm, a szobák száma 2 - 5 , terasszal, vagy anélkül, melyek között biztosan talál Önnek megfelelot.Az ingatlan a jelenlegi gazdasági környezetben biztonságos és jövedelmezo befektetés. A kiváló lokáció, belvárosi környezet, a minoségi, modern lakások és a jó közlekedés egyszerre biztosítják az exkluzív tetotéri lakások bérbeadhatóságát, a vételár gyors megtérülését.További részleteket szívesen adunk, amennyiben írásban elküldi az érdeklodését.","újszeru","2022","luxus","nincs megadva","5","5","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","tetotéri","nincs megadva",NA
"135","XIII. kerület, Újlipótváros","88 millió Ft","72 m²","1 + 2 fél","Újlipótváros szívében gyönyöru, világos otthonEgyedi megoldásokkal gyönyöruen FELÚJÍTOTT, VILÁGOS, 2. EMELETI, kiváló beosztású kincs Újlipótváros szívében, Budapest egyik legimpozánsabb környékén!Ebben a csodálatos lakásban az ötletes, egyedi megoldásoknak köszönhetoen nagyszeruen ötvözodik a praktikum a kényelemmel, a NAGYPOLGÁRI stílus az ELEGÁNS LUXUSSAL.Nézze meg és szeressen bele :) 88000000 FtReferencia szám: LK527283","felújított","1950 elott","nincs megadva","nincs megadva","2","nincs megadva","van","nincs megadva","gázkazán","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
